num_ticket,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
kw9f0kwvZJmsukQy,TLC,MTY,19.3371,-99.566,25.7785,-100.107
zYJ0eNPqoypT9KBV,MTY,TLC,25.7785,-100.107,19.3371,-99.566
PheImPzc32OUR8pL,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
OXedr2FpCM7064xJ,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
dl801YRyK6BEK8mU,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
JB1dRWESoeauaWVq,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
bHN36hCimwE4OW4h,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
XQuBO6I88QDDi7JK,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
zNmdVByJnH3ahxSK,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
nYV7nHdGC0k5m1vY,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
CP2h3qToAfeyo59X,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
6lbI29h7zpfhhjEY,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
cexrXVfqb1jrt77X,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
NGrqOOwtdiDa4uQd,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
woVEzba2dnHoy73e,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
u2VIiab138XdNca5,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
CcYKG7HFuYCaN57S,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
3ZcOsTsx373S4L51,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
mpLbORJgaZepr4lk,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
VUeFhdjbHSY9GysL,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
xOak4iej3jYXqXdQ,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
RKGIpQbZrompkicp,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
DpiDcoOOGALmJxGC,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
gX9YuSqDt7my8ZA4,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
7BskfeTyzyr3twu1,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
HJ3kuLRDfUy8Yu3H,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
0t4GtJwo2KsBCM9a,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
CpUHZWuUgYWbnUmd,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
d3fys4nzbriYAOs1,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
t8R7Yq0JTK4aniR8,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
hO8yy5hAhBXP5sXR,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
FgCDxpiBWSWby5Mb,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
91NpfFXSaPtTxds6,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
uLe6ncX5j2yyQc90,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
Jv54iGTZwAtSo9yY,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
3zFFSr5vwyWEvA3w,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
xc75PPLVE4Y3yPfY,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
DojYnRykzLjHbo1S,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
GBrsASazP8Ah453Y,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
QIxB8PFVk5IRNlt1,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
aSRkhM526JXqifzx,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
2nvhKuJewkqHvkr1,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
PgRmZdn86N019QwD,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
UcdLgHnJtyIv9Bob,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
l9gf0v9cvgj3N0NO,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
dZSAxtwefrYKXo6b,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
PtPlBLF83iQT07I7,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
NEc6kKpAAWUf6rFu,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
OMO8oreGKqYpfbxG,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
sp5o2Fv7YMqRkIkU,MTY,MEX,25.7785,-100.107,19.4363,-99.0721
0I2BZkSiQEfVzU2e,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
yLQwpyiOgyHPTjnE,MEX,MTY,19.4363,-99.0721,25.7785,-100.107
QswINn4P24AzGXdW,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
b1YWm50CKAGI0huL,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
LZqOJtW988AuVigG,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
fEVdQPzcLpxMzMvq,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
Wn0YNsenGaJ0cDyB,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
r6glPP70PSXrKr3u,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
34SjfUlnZRokeO5v,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
BqKF9GFVEa9QWuEY,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
6jAAe7FYw39qJ3UJ,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659
